episode,timestep,reward
20,2000,649.3219
41,4000,684.0913
61,6000,677.0676
81,8000,682.9751
100,10000,700.4888
119,12000,689.2955
138,14000,712.1988
157,16000,731.522
176,18000,672.9406
194,20000,684.2062
213,22000,706.9509
231,24000,705.7133
249,26000,696.4776
267,28000,716.9478
284,30000,724.3193
301,32000,725.3055
316,34000,748.3143
332,36000,761.7421
347,38000,787.3683
363,40000,737.2017
380,42000,734.244
396,44000,736.3298
413,46000,798.811
429,48000,807.3933
445,50000,766.4308
463,52000,743.7582
480,54000,761.1682
497,56000,776.1957
513,58000,804.8816
530,60000,808.9457
547,62000,775.8423
564,64000,800.7602
581,66000,801.6123
599,68000,789.1671
615,70000,818.9242
631,72000,801.4945
647,74000,816.1133
664,76000,814.817
681,78000,764.3632
698,80000,742.7201
715,82000,759.6288
731,84000,763.2658
747,86000,775.3864
763,88000,786.4065
778,90000,791.0852
794,92000,785.4713
810,94000,774.2128
827,96000,766.8626
843,98000,771.081
858,100000,804.7012
873,102000,776.4021
888,104000,796.211
903,106000,797.4403
918,108000,787.758
933,110000,798.5573
948,112000,787.0819
963,114000,812.3248
977,116000,787.4342
991,118000,806.8636
1006,120000,832.2386
1021,122000,785.8478
1037,124000,777.6204
1053,126000,740.1971
1069,128000,779.999
1085,130000,767.7232
